央视频道,#genre#
重庆卫视,http://111.113.89.3:2000/rtp/239.121.4.36:8190
四川卫视,http://183.236.43.98:4013/udp/239.77.1.215:5146
四川卫视,http://113.119.25.140:58888/udp/239.77.1.215:5146
四川卫视,http://114.254.35.130:18888/rtp/239.3.1.29:8288
四川卫视,http://144.255.16.122:6688/udp/239.21.2.15:5002
四川卫视,http://115.171.216.84:4000/rtp/225.1.8.142:8288
四川卫视,http://115.171.80.79:1688/rtp/225.1.8.142:8288
四川卫视,http://115.171.216.64:4000/rtp/225.1.8.142:8288
四川卫视,http://118.78.196.227:55555/rtp/226.0.2.179:9344
四川卫视,http://223.198.243.214:4000/rtp/239.253.64.36:5140
四川卫视,http://106.59.2.169:55555/udp/239.200.201.137:8796
东南卫视,http://183.236.43.98:4013/udp/239.77.1.104:5146
东南卫视,http://113.119.25.140:58888/udp/239.77.1.104:5146
东南卫视,http://114.254.35.130:18888/rtp/239.3.1.156:8148
东南卫视,http://144.255.16.122:6688/udp/239.21.1.113:5002
东南卫视,http://115.171.216.84:4000/udp/225.1.8.79:8148
东南卫视,http://115.171.80.79:1688/udp/225.1.8.79:8148
东南卫视,http://115.171.216.64:4000/udp/225.1.8.79:8148
东南卫视,http://118.78.196.227:55555/rtp/226.0.2.188:9416
东南卫视,http://223.198.243.214:4000/rtp/239.253.64.66:5140
东南卫视,http://106.59.2.169:55555/udp/239.200.201.69:8764
东南卫视,http://111.113.89.3:2000/rtp/239.121.4.102:9226
深圳卫视,http://183.236.43.98:4013/udp/239.77.1.3:5146
深圳卫视,http://183.236.43.98:4013/udp/239.77.0.130:5146
深圳卫视,http://113.119.25.140:58888/udp/239.77.1.3:5146
深圳卫视,http://113.119.25.140:58888/udp/239.77.0.130:5146
深圳卫视,http://114.254.35.130:18888/rtp/239.3.1.134:8020
深圳卫视,http://144.255.16.122:6688/udp/239.21.1.93:5002
深圳卫视,http://115.171.216.84:4000/udp/225.1.8.43:8020
深圳卫视,http://115.171.80.79:1688/udp/225.1.8.43:8020
深圳卫视,http://115.171.216.64:4000/udp/225.1.8.43:8020
深圳卫视,http://118.78.196.227:55555/rtp/226.0.2.147:9088
深圳卫视,http://223.198.243.214:4000/rtp/239.253.64.203:5140
深圳卫视,http://106.59.2.169:55555/rtp/239.200.200.67:8776
深圳卫视,http://111.113.89.3:2000/rtp/239.121.4.119:8696
广东卫视,http://183.236.43.98:4013/udp/239.77.1.19:5146
广东卫视,http://183.236.43.98:4013/udp/239.77.1.152:5146
广东卫视,http://183.236.43.98:4013/udp/239.77.0.166:5146
广东卫视,http://113.119.25.140:58888/udp/239.77.1.19:5146
广东卫视,http://113.119.25.140:58888/udp/239.77.1.152:5146
广东卫视,http://113.119.25.140:58888/udp/239.77.0.166:5146
广东卫视,http://114.254.35.130:18888/rtp/239.3.1.142:8048
广东卫视,http://144.255.16.122:6688/udp/239.21.1.92:5002
广东卫视,http://115.171.216.84:4000/udp/225.1.8.49:8048
广东卫视,http://115.171.80.79:1688/udp/225.1.8.49:8048
广东卫视,http://115.171.216.64:4000/udp/225.1.8.49:8048
广东卫视,http://118.78.196.227:55555/rtp/226.0.2.146:9080
广东卫视,http://223.198.243.214:4000/rtp/239.253.64.200:5140
广东卫视,http://106.59.2.169:55555/udp/239.200.201.35:8768
广东卫视,http://111.113.89.3:2000/rtp/239.121.4.118:8690
广西卫视,http://183.236.43.98:4013/udp/239.253.43.36:5146
广西卫视,http://113.119.25.140:58888/udp/239.253.43.36:5146
广西卫视,http://114.254.35.130:18888/rtp/239.3.1.39:8300
广西卫视,http://115.171.216.84:4000/rtp/225.1.8.152:8300
广西卫视,http://115.171.80.79:1688/rtp/225.1.8.152:8300
广西卫视,http://115.171.216.64:4000/rtp/225.1.8.152:8300
广西卫视,http://118.78.196.227:55555/rtp/226.0.2.231:9760
广西卫视,http://223.198.243.214:4000/rtp/239.253.64.45:5140
广西卫视,http://106.59.2.169:55555/rtp/239.200.200.53:8280
厦门卫视,http://114.254.35.130:18888/rtp/239.3.1.143:4120
厦门卫视,http://115.171.216.84:4000/rtp/225.1.8.166:4120
厦门卫视,http://115.171.80.79:1688/rtp/225.1.8.166:4120
厦门卫视,http://115.171.216.64:4000/rtp/225.1.8.166:4120
厦门卫视,http://223.198.243.214:4000/rtp/239.253.64.179:5140
甘肃卫视,http://183.236.43.98:4013/udp/239.77.0.189:5146
甘肃卫视,http://113.119.25.140:58888/udp/239.77.0.189:5146
甘肃卫视,http://114.254.35.130:18888/rtp/239.3.1.49:8188
甘肃卫视,http://144.255.16.122:6688/udp/239.21.2.22:5002
甘肃卫视,http://115.171.216.84:4000/rtp/225.1.8.162:8188
甘肃卫视,http://115.171.80.79:1688/rtp/225.1.8.162:8188
甘肃卫视,http://115.171.216.64:4000/rtp/225.1.8.162:8188
甘肃卫视,http://223.198.243.214:4000/rtp/239.253.64.140:5140
甘肃卫视,http://106.59.2.169:55555/udp/239.200.200.186:8356
贵州卫视,http://183.236.43.98:4013/udp/239.77.1.221:5146
贵州卫视,http://113.119.25.140:58888/udp/239.77.1.221:5146
贵州卫视,http://114.254.35.130:18888/rtp/239.3.1.149:8076
贵州卫视,http://144.255.16.122:6688/udp/239.21.1.166:5002
贵州卫视,http://115.171.216.84:4000/udp/225.1.8.77:8076
贵州卫视,http://115.171.80.79:1688/udp/225.1.8.77:8076
贵州卫视,http://115.171.216.64:4000/udp/225.1.8.77:8076
贵州卫视,http://118.78.196.227:55555/rtp/226.0.2.180:9352
贵州卫视,http://223.198.243.214:4000/rtp/239.253.64.197:5140
贵州卫视,http://106.59.2.169:55555/udp/239.200.201.119:8788
贵州卫视,http://111.113.89.3:2000/rtp/239.121.4.65:8364
河北卫视,http://183.236.43.98:4013/udp/239.77.1.214:5146
河北卫视,http://113.119.25.140:58888/udp/239.77.1.214:5146
河北卫视,http://114.254.35.130:18888/rtp/239.3.1.148:8072
河北卫视,http://144.255.16.122:6688/udp/239.21.1.168:5002
河北卫视,http://115.171.216.84:4000/udp/225.1.8.76:8002
河北卫视,http://115.171.80.79:1688/udp/225.1.8.76:8002
河北卫视,http://115.171.216.64:4000/udp/225.1.8.76:8002
河北卫视,http://118.78.196.227:55555/rtp/226.0.2.178:9336
河北卫视,http://223.198.243.214:4000/rtp/239.253.64.210:5140
河北卫视,http://111.113.89.3:2000/rtp/239.121.4.76:8430
河南卫视,http://183.236.43.98:4013/udp/239.77.1.229:5146
河南卫视,http://113.119.25.140:58888/udp/239.77.1.229:5146
河南卫视,http://114.254.35.130:18888/rtp/239.3.1.27:8128
河南卫视,http://144.255.16.122:6688/udp/239.21.2.37:5002
河南卫视,http://115.171.216.84:4000/rtp/225.1.8.140:8128
河南卫视,http://115.171.80.79:1688/rtp/225.1.8.140:8128
河南卫视,http://115.171.216.64:4000/rtp/225.1.8.140:8128
河南卫视,http://118.78.196.227:55555/rtp/226.0.2.52:8328
河南卫视,http://223.198.243.214:4000/rtp/239.253.64.38:5140
河南卫视,http://106.59.2.169:55555/udp/239.200.201.158:8412
黑龙江卫视,http://183.236.43.98:4013/udp/239.77.0.124:5146
黑龙江卫视,http://113.119.25.140:58888/udp/239.77.0.124:5146
黑龙江卫视,http://114.254.35.130:18888/rtp/239.3.1.133:8016
黑龙江卫视,http://144.255.16.122:6688/udp/239.21.1.28:5002
黑龙江卫视,http://115.171.216.84:4000/udp/225.1.8.42:8016
黑龙江卫视,http://115.171.80.79:1688/udp/225.1.8.42:8016
黑龙江卫视,http://115.171.216.64:4000/udp/225.1.8.42:8016
黑龙江卫视,http://118.78.196.227:55555/rtp/226.0.2.151:9120
黑龙江卫视,http://223.198.243.214:4000/rtp/239.253.64.205:5140
黑龙江卫视,http://106.59.2.169:55555/rtp/239.200.200.66:8016
黑龙江卫视,http://111.113.89.3:2000/rtp/239.121.4.120:8702
湖北卫视,http://183.236.43.98:4013/udp/239.77.0.128:5146
湖北卫视,http://113.119.25.140:58888/udp/239.77.0.128:5146
湖北卫视,http://114.254.35.130:18888/rtp/239.3.1.138:8044
湖北卫视,http://144.255.16.122:6688/udp/239.21.1.163:5002
湖北卫视,http://115.171.216.84:4000/udp/225.1.8.47:8044
湖北卫视,http://115.171.80.79:1688/udp/225.1.8.47:8044
湖北卫视,http://115.171.216.64:4000/udp/225.1.8.47:8044
湖北卫视,http://118.78.196.227:55555/rtp/226.0.2.150:9112
湖北卫视,http://223.198.243.214:4000/rtp/239.253.64.207:5140
湖北卫视,http://106.59.2.169:55555/rtp/239.200.200.68:8772
湖北卫视,http://111.113.89.3:2000/rtp/239.121.4.126:8738
江西卫视,http://183.236.43.98:4013/udp/239.77.1.219:5146
江西卫视,http://113.119.25.140:58888/udp/239.77.1.219:5146
江西卫视,http://114.254.35.130:18888/rtp/239.3.1.123:8164
江西卫视,http://144.255.16.122:6688/udp/239.21.1.167:5002
江西卫视,http://115.171.216.84:4000/udp/225.1.8.171:8166
江西卫视,http://115.171.216.84:4000/rtp/225.1.1.9:8164
江西卫视,http://115.171.80.79:1688/udp/225.1.8.171:8166
江西卫视,http://115.171.80.79:1688/rtp/225.1.1.9:8164
江西卫视,http://115.171.216.64:4000/udp/225.1.8.171:8166
江西卫视,http://115.171.216.64:4000/rtp/225.1.1.9:8164
江西卫视,http://118.78.196.227:55555/rtp/226.0.2.54:8344
江西卫视,http://223.198.243.214:4000/rtp/239.253.64.56:5140
江西卫视,http://106.59.2.169:55555/udp/239.200.201.79:8876
江西卫视,http://111.113.89.3:2000/rtp/239.121.4.111:8648
吉林卫视,http://183.236.43.98:4013/udp/239.77.1.111:5146
吉林卫视,http://113.119.25.140:58888/udp/239.77.1.111:5146
吉林卫视,http://114.254.35.130:18888/rtp/239.3.1.240:8172
吉林卫视,http://144.255.16.122:6688/udp/239.21.2.49:5002
吉林卫视,http://115.171.216.84:4000/rtp/225.1.8.153:8200
吉林卫视,http://115.171.80.79:1688/rtp/225.1.8.153:8200
吉林卫视,http://115.171.216.64:4000/rtp/225.1.8.153:8200
吉林卫视,http://118.78.196.227:55555/rtp/226.0.2.58:8376
吉林卫视,http://223.198.243.214:4000/rtp/239.253.64.57:5140
吉林卫视,http://106.59.2.169:55555/udp/239.200.201.127:8792
吉林卫视,http://111.113.89.3:2000/rtp/239.121.4.43:8232
内蒙古卫视,http://114.254.35.130:18888/rtp/239.3.1.43:8176
内蒙古卫视,http://115.171.216.84:4000/rtp/225.1.8.156:8176
内蒙古卫视,http://115.171.80.79:1688/rtp/225.1.8.156:8176
内蒙古卫视,http://115.171.216.64:4000/rtp/225.1.8.156:8176
内蒙古卫视,http://223.198.243.214:4000/rtp/239.253.64.144:5140
辽宁卫视,http://183.236.43.98:4013/udp/239.77.1.103:5146
辽宁卫视,http://113.119.25.140:58888/udp/239.77.1.103:5146
辽宁卫视,http://114.254.35.130:18888/rtp/239.3.1.210:8056
辽宁卫视,http://144.255.16.122:6688/udp/239.21.1.164:5002
辽宁卫视,http://115.171.216.84:4000/udp/225.1.8.51:8056
辽宁卫视,http://115.171.80.79:1688/udp/225.1.8.51:8056
辽宁卫视,http://115.171.216.64:4000/udp/225.1.8.51:8056
辽宁卫视,http://118.78.196.227:55555/rtp/226.0.2.173:9296
辽宁卫视,http://223.198.243.214:4000/rtp/239.253.64.150:5140
辽宁卫视,http://106.59.2.169:55555/udp/239.200.200.167:8736
辽宁卫视,http://111.113.89.3:2000/rtp/239.121.4.163:8962
宁夏卫视,http://114.254.35.130:18888/rtp/239.3.1.46:8124
宁夏卫视,http://115.171.216.84:4000/rtp/225.1.8.159:8124
宁夏卫视,http://115.171.80.79:1688/rtp/225.1.8.159:8124
宁夏卫视,http://115.171.216.64:4000/rtp/225.1.8.159:8124
宁夏卫视,http://223.198.243.214:4000/rtp/239.253.64.89:5140
宁夏卫视,http://106.59.2.169:55555/rtp/239.200.200.60:8308
宁夏卫视,http://111.113.89.3:2000/rtp/239.121.4.94:8538
青海卫视,http://183.236.43.98:4013/udp/239.253.43.125:5146
青海卫视,http://113.119.25.140:58888/udp/239.253.43.125:5146
青海卫视,http://114.254.35.130:18888/rtp/239.3.1.44:8184
青海卫视,http://144.255.16.122:6688/udp/239.21.2.51:5002
青海卫视,http://115.171.216.84:4000/rtp/225.1.8.157:8184
青海卫视,http://115.171.80.79:1688/rtp/225.1.8.157:8184
青海卫视,http://115.171.216.64:4000/rtp/225.1.8.157:8184
青海卫视,http://223.198.243.214:4000/rtp/239.253.64.46:5140
青海卫视,http://36.49.51.207:8800/rtp/239.37.0.104:5540
青海卫视,http://106.59.2.169:55555/rtp/239.200.200.58:8300
山东卫视,http://183.236.43.98:4013/udp/239.77.1.142:5146
山东卫视,http://113.119.25.140:58888/udp/239.77.1.142:5146
山东卫视,http://114.254.35.130:18888/rtp/239.3.1.209:8052
山东卫视,http://144.255.16.122:6688/udp/239.21.1.87:5002
山东卫视,http://115.171.216.84:4000/udp/225.1.8.50:8052
山东卫视,http://115.171.80.79:1688/udp/225.1.8.50:8052
山东卫视,http://115.171.216.64:4000/udp/225.1.8.50:8052
山东卫视,http://118.78.196.227:55555/rtp/226.0.2.149:9104
山东卫视,http://223.198.243.214:4000/rtp/239.253.64.208:5140
山东卫视,http://106.59.2.169:55555/rtp/239.200.200.168:8748
山东卫视,http://111.113.89.3:2000/rtp/239.121.4.162:8956
山东教育卫视,http://114.254.35.130:18888/rtp/239.3.1.52:4120
山东教育卫视,http://115.171.216.84:4000/rtp/225.1.8.190:4120
山东教育卫视,http://115.171.80.79:1688/rtp/225.1.8.190:4120
山东教育卫视,http://115.171.216.64:4000/rtp/225.1.8.190:4120
山东教育卫视,http://223.198.243.214:4000/rtp/239.253.64.241:5140
山东教育卫视,http://106.59.2.169:55555/rtp/239.200.201.77:8132
天津卫视,http://183.236.43.98:4013/udp/239.77.1.141:5146
天津卫视,http://183.236.43.98:4013/udp/239.77.1.182:5146
天津卫视,http://183.236.43.98:4013/udp/239.77.0.131:5146
天津卫视,http://113.119.25.140:58888/udp/239.77.1.141:5146
天津卫视,http://113.119.25.140:58888/udp/239.77.1.182:5146
天津卫视,http://113.119.25.140:58888/udp/239.77.0.131:5146
天津卫视,http://114.254.35.130:18888/rtp/239.3.1.141:1234
天津卫视,http://144.255.16.122:6688/udp/239.21.1.165:5002
天津卫视,http://115.171.216.84:4000/udp/225.1.8.48:8044
天津卫视,http://115.171.80.79:1688/udp/225.1.8.48:8044
天津卫视,http://115.171.216.64:4000/udp/225.1.8.48:8044
天津卫视,http://118.78.196.227:55555/rtp/226.0.2.148:9096
天津卫视,http://223.198.243.214:4000/rtp/239.253.64.198:5140
天津卫视,http://106.59.2.169:55555/udp/239.200.200.69:1234
